,index,time,region,meanTair_F_Inst,minTair_F_Inst,maxTair_F_Inst,meanQair_F_Inst,meanSoilmoi0_10Cm_Inst,meanCanopint_Inst,meanPsurf_F_Inst,meanNdvi,minNdvi,maxNdvi,meanPrecipitationcal,minPrecipitationcal,maxPrecipitationcal,cases
0,7875.0,315.0,Ampara,302.33319091796875,301.92608642578125,302.7024841308594,0.0170307625085115,25.367788314819336,0.0708690509200096,99238.15625,0.3360441029071808,0.1812857091426849,0.5002428293228149,1.0814348459243774,0.0024257006589323,5.9173359870910645,3.0
1,7876.0,315.0,Anuradhapura,302.0667419433594,301.6482238769531,302.77642822265625,0.0176403634250164,20.58824348449707,0.0008874999475665,99664.9140625,0.3291142284870147,0.1746285706758499,0.4248142838478088,0.0316686742007732,0.0,0.4512040615081787,9.0
2,7877.0,315.0,Badulla,296.7598876953125,290.4342956542969,302.0637512207031,0.0158884115517139,28.335206985473636,0.10868451744318,91665.2265625,0.2657714188098907,0.1625142842531204,0.4097428321838379,1.006210446357727,0.0185999311506748,2.3550078868865967,29.0
3,7878.0,315.0,Batticaloa,303.1073913574219,302.8810729980469,303.4059143066406,0.0174327567219734,20.746124267578125,0.0400238074362278,100180.6875,0.4171313643455505,0.3073285520076751,0.5010713934898376,0.0429874435067176,0.0,0.6897715330123901,23.0
4,7879.0,315.0,Colombo,300.6944580078125,300.0450134277344,301.34393310546875,0.0178115963935852,28.184499740600582,0.1100178584456443,99863.453125,0.3334952294826507,0.2210428565740585,0.436128556728363,8.888182640075684,5.248856544494629,14.715760231018066,25.0
5,7880.0,315.0,Galle,298.3675842285156,297.6978454589844,299.0373229980469,0.018117219209671,30.399677276611328,0.1344821453094482,98299.0546875,0.2903999984264374,0.163814291357994,0.4109714329242706,5.730883598327637,2.943854808807373,11.839195251464844,28.0
6,7881.0,315.0,Gampaha,301.2733154296875,300.8194885253906,301.7271423339844,0.0177769530564546,25.18992805480957,0.0764017850160598,100048.640625,0.3958463370800018,0.2983571588993072,0.4812142848968506,3.208881139755249,0.3085412681102752,6.516972541809082,23.0
7,7882.0,315.0,Hambantota,301.192626953125,300.3208923339844,301.9789428710937,0.0171199589967727,27.548025131225582,0.118011899292469,100043.6328125,0.2707834243774414,0.1643999963998794,0.415099948644638,4.211367130279541,2.2192575931549072,8.70434856414795,13.0
8,7883.0,315.0,Jaffna,,,,,,,,0.2089589983224868,0.0529285706579685,0.2844142615795135,0.0269369557499885,0.001833037356846,0.0761313661932945,12.0
9,7884.0,315.0,Kalutara,299.44512939453125,299.3460998535156,299.54412841796875,0.0178603455424308,30.359668731689453,0.1250535696744918,99474.7578125,0.3430580198764801,0.260614275932312,0.4165714085102081,10.589280128479004,4.749471187591553,16.920530319213867,74.0
10,7885.0,315.0,Kandy,296.8861389160156,294.8460998535156,298.2955627441406,0.0158946607261896,28.42707061767578,0.0821845233440399,92101.1171875,0.2547944486141205,0.1644428521394729,0.3538285791873932,0.141231968998909,0.0,1.43878436088562,50.0
11,7886.0,315.0,Kegalle,298.8898620605469,297.6112670898437,300.6425170898437,0.0169608518481254,29.339012145996094,0.0962321460247039,96767.5234375,0.3564960360527038,0.2079285681247711,0.4886428415775299,2.636944055557251,0.0131239695474505,5.877612590789795,46.0
12,7887.0,315.0,Kilinochchi,302.8237609863281,302.7610778808594,302.8864440917969,0.0190262384712696,16.315893173217773,0.0,100509.296875,0.2998285591602325,0.1350285708904266,0.4554999768733978,0.0018405992304906,2.2047855964046903e-05,0.0113232685253024,8.0
13,7888.0,315.0,Kurunegala,301.5556335449219,301.2685852050781,302.0637512207031,0.017305614426732,20.985952377319336,0.0395833328366279,99543.2734375,0.3245757520198822,0.1819857209920883,0.5036285519599915,0.0885592699050903,0.0,0.9903568029403688,51.0
14,7889.0,315.0,Mannar,302.3287658691406,302.0257263183594,302.581787109375,0.0188324600458145,20.85139274597168,0.0,100247.5390625,0.3638928532600403,0.2143285572528839,0.4646428227424621,0.0115526877343654,0.0,0.103967897593975,7.0
15,7890.0,315.0,Matale,300.7094116210937,299.9775085449219,301.310546875,0.0162900779396295,21.88958168029785,0.048589289188385,97321.9375,0.2757608890533447,0.1711571365594864,0.4413999915122986,0.012373493053019,0.0,0.0769673362374305,25.0
16,7891.0,315.0,Matara,299.40338134765625,299.40338134765625,299.40338134765625,0.0181897226721048,29.991500854492188,0.1266964375972747,99177.0078125,0.2754916250705719,0.1484571397304535,0.3967571258544922,5.9881696701049805,2.803471326828003,8.71306324005127,22.0
17,7892.0,315.0,Moneragala,300.498046875,296.5921325683594,302.60162353515625,0.0167362783104181,28.227087020874023,0.1232550963759422,97861.625,0.2836735546588897,0.1301714330911636,0.4573999941349029,1.8407700061798096,0.1277583837509155,6.3977556228637695,5.0
18,7893.0,315.0,Mullaitivu,302.5488586425781,302.3542785644531,302.9055480957031,0.0185538288205862,18.106857299804688,0.0,100265.5703125,0.3680374920368194,0.2266142666339874,0.4550857245922088,0.0041346247307956,0.0,0.0176673457026481,4.0
19,7894.0,315.0,NuwaraEliya,293.24267578125,291.71697998046875,294.7684020996094,0.015961417928338,30.05683135986328,0.1361160576343536,87578.40625,0.2994522750377655,0.1762285679578781,0.443714290857315,1.274318814277649,0.3139063417911529,3.715736389160156,3.0
20,7895.0,315.0,Polonnaruwa,302.3450012207031,301.54644775390625,303.1648254394531,0.0166472215205431,21.5754337310791,0.0295758936554193,99412.0625,0.393943578004837,0.2733142971992492,0.5114142894744873,0.008251323364675,0.0,0.0864884108304977,9.0
