['191'],['86'],['39'],['20'],['7'],['0'],['21'],['17'],['55'],['3'],['0'],['1'],['2'],['0'],['10'],['4'],['0'],['30'],['13'],['11'],['5'],['21'],['8'],['5'],['8'],['2']
['200'],['78'],['51'],['34'],['7'],['0'],['15'],['22'],['40'],['0'],['0'],['0'],['1'],['0'],['6'],['0'],['1'],['70'],['10'],['9'],['1'],['11'],['4'],['22'],['13'],['3']
['223'],['121'],['55'],['25'],['13'],['2'],['9'],['14'],['10'],['0'],['0'],['1'],['0'],['0'],['10'],['1'],['0'],['42'],['7'],['5'],['1'],['6'],['9'],['21'],['10'],['2']
['216'],['104'],['42'],['25'],['7'],['1'],['10'],['8'],['34'],['0'],['1'],['0'],['2'],['0'],['4'],['1'],['0'],['15'],['7'],['3'],['3'],['13'],['5'],['12'],['18'],['0']
['13'],['11'],['69'],['17'],['11'],['2'],['12'],['10'],['11'],['2'],['0'],['1'],['0'],['0'],['1'],['2'],['0'],['36'],['7'],['5'],['1'],['1'],['2'],['7'],['12'],['1']
['18'],['10'],['73'],['28'],['20'],['0'],['14'],['14'],['16'],['2'],['0'],['1'],['0'],['0'],['5'],['1'],['0'],['43'],['10'],['5'],['1'],['16'],['5'],['23'],['17'],['0']
['10'],['53'],['34'],['20'],['12'],['0'],['13'],['7'],['13'],['1'],['0'],['0'],['0'],['0'],['1'],['2'],['0'],['46'],['10'],['3'],['3'],['6'],['2'],['12'],['11'],['1']
['82'],['19'],['16'],['18'],['17'],['1'],['4'],['2'],['10'],['1'],['0'],['0'],['0'],['0'],['0'],['0'],['2'],['21'],['4'],['9'],['5'],['2'],['2'],['8'],['8'],['0']
['48'],['24'],['10'],['13'],['4'],['1'],['4'],['5'],['4'],['1'],['0'],['1'],['0'],['0'],['6'],['1'],['0'],['5'],['3'],['1'],['0'],['9'],['6'],['12'],['3'],['0']
['50'],['17'],['23'],['17'],['0'],['0'],['3'],['0'],['4'],['0'],['1'],['0'],['0'],['0'],['1'],['0'],['0'],['5'],['1'],['1'],['0'],['0'],['1'],['1'],['3'],['2']
['49'],['27'],['15'],['8'],['3'],['1'],['9'],['5'],['6'],['0'],['1'],['0'],['0'],['0'],['1'],['1'],['3'],['13'],['5'],['4'],['1'],['3'],['2'],['3'],['2'],['0']
['59'],['50'],['29'],['7'],['5'],['2'],['11'],['6'],['7'],['0'],['0'],['0'],['0'],['0'],['0'],['0'],['0'],['9'],['0'],['4'],['2'],['3'],['0'],['8'],['1'],['0']
['75'],['32'],['30'],['9'],['1'],['0'],['16'],['2'],['9'],['1'],['0'],['0'],['0'],['0'],['1'],['1'],['2'],['23'],['1'],['0'],['1'],['6'],['1'],['1'],['2'],['1']
['13'],['42'],['30'],['13'],['7'],['0'],['18'],['7'],['6'],['0'],['0'],['0'],['0'],['0'],['3'],['2'],['1'],['16'],['1'],['2'],['0'],['13'],['7'],['3'],['5'],['1']
['14'],['79'],['30'],['23'],['5'],['2'],['10'],['9'],['16'],['0'],['0'],['0'],['1'],['0'],['2'],['0'],['0'],['23'],['6'],['1'],['0'],['30'],['5'],['7'],['6'],['2']
['19'],['12'],['36'],['29'],['8'],['0'],['12'],['5'],['10'],['0'],['0'],['1'],['1'],['0'],['7'],['0'],['2'],['35'],['6'],['3'],['3'],['38'],['1'],['8'],['5'],['0']
['190'],['104'],['38'],['25'],['3'],['1'],['14'],['9'],['5'],['2'],['0'],['1'],['1'],['1'],['8'],['1'],['0'],['57'],['3'],['2'],['2'],['25'],['2'],['16'],['11'],['5']
['24'],['15'],['29'],['27'],['16'],['1'],['17'],['6'],['6'],['6'],['0'],['1'],['0'],['0'],['3'],['0'],['3'],['33'],['7'],['2'],['2'],['30'],['7'],['10'],['15'],['1']
['23'],['15'],['43'],['25'],['5'],['4'],['15'],['6'],['10'],['1'],['0'],['0'],['0'],['1'],['2'],['0'],['11'],['54'],['4'],['5'],['3'],['55'],['2'],['18'],['8'],['4']
['20'],['20'],['41'],['32'],['7'],['5'],['20'],['4'],['20'],['4'],['0'],['1'],['3'],['0'],['9'],['1'],['6'],['53'],['12'],['4'],['2'],['50'],['4'],['18'],['26'],['7']
['24'],['21'],['39'],['47'],['7'],['0'],['13'],['9'],['11'],['10'],['1'],['7'],['3'],['0'],['11'],['2'],['20'],['96'],['16'],['1'],['3'],['67'],['3'],['17'],['14'],['4']
['309'],['218'],['76'],['46'],['14'],['2'],['31'],['12'],['26'],['11'],['3'],['30'],['4'],['0'],['12'],['3'],['22'],['67'],['37'],['9'],['2'],['34'],['5'],['13'],['23'],['10']
['34'],['24'],['93'],['47'],['11'],['2'],['22'],['12'],['14'],['40'],['1'],['63'],['3'],['0'],['28'],['10'],['10'],['64'],['30'],['2'],['5'],['46'],['4'],['25'],['36'],['8']
['40'],['43'],['20'],['72'],['4'],['7'],['44'],['25'],['31'],['74'],['9'],['18'],['3'],['0'],['25'],['1'],['30'],['23'],['90'],['13'],['8'],['78'],['14'],['47'],['42'],['10']
['40'],['43'],['20'],['72'],['4'],['7'],['44'],['25'],['31'],['74'],['9'],['18'],['3'],['0'],['25'],['1'],['30'],['23'],['90'],['13'],['8'],['78'],['14'],['47'],['42'],['10']
